Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Year,Month,Region
0,0,I’m not sure how I feel about the fare change.,Negative,2023-01-27 15:20:00,User0,Twitter,#DistanceFare #RwandaTransport,61,150,2023,1,Ngoma
1,1,"Spending less on short trips, finally!",Positive,2023-01-20 20:06:00,User1,Facebook,#DistanceFare #RwandaTransport,24,21,2023,1,Rusizi
2,2,Fare system needs better explanation.,Negative,2023-01-29 21:21:00,User2,Facebook,#CommuteStories #Transport,81,104,2023,1,Huye
3,3,Great idea for long-distance commuters.,Positive,2023-01-23 09:05:00,User3,Instagram,#PublicTransit #FareChange,70,55,2023,1,Huye
4,4,Great idea for long-distance commuters.,Neutral,2023-01-05 03:39:00,User4,Twitter,#DistanceFare #RwandaTransport,30,139,2023,1,Ngoma
5,5,Why does my daily route cost more now?,Negative,2023-01-22 09:22:00,User5,Twitter,#CityTransit #RwandaMoves,92,44,2023,1,Rwamagana
6,6,I’m not sure how I feel about the fare change.,Negative,2023-01-16 20:03:00,User6,Instagram,#KigaliCommute #BusTalk,96,90,2023,1,Ngoma
7,7,Enjoying my commute again!,Negative,2023-01-19 14:01:00,User7,Instagram,#CommuteStories #Transport,84,99,2023,1,Huye
8,8,I’m not sure how I feel about the fare change.,Negative,2023-01-16 04:03:00,User8,Twitter,#CityTransit #RwandaMoves,84,17,2023,1,Ngoma
9,9,New fare structure is a relief for some routes.,Neutral,2023-01-15 14:40:00,User9,Facebook,#PublicTransit #FareChange,97,102,2023,1,Ngoma
10,10,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-31 11:57:00,User10,Instagram,#CityTransit #RwandaMoves,33,163,2023,1,Huye
11,11,"Spending less on short trips, finally!",Positive,2023-01-05 18:15:00,User11,Instagram,#DistanceFare #RwandaTransport,12,99,2023,1,Rusizi
12,12,"Spending less on short trips, finally!",Negative,2023-01-08 07:39:00,User12,Facebook,#KigaliCommute #BusTalk,31,171,2023,1,Rubavu
13,13,I’m not sure how I feel about the fare change.,Neutral,2023-01-16 00:14:00,User13,Twitter,#DistanceFare #RwandaTransport,62,124,2023,1,Rusizi
14,14,Great idea for long-distance commuters.,Positive,2023-01-19 17:37:00,User14,Facebook,#BusLife #DistanceFareModel,11,114,2023,1,Rubavu
15,15,Great idea for long-distance commuters.,Positive,2023-01-23 13:11:00,User15,Instagram,#DistanceFare #RwandaTransport,97,144,2023,1,Rwamagana
16,16,Enjoying my commute again!,Positive,2023-01-14 02:48:00,User16,Facebook,#BusLife #DistanceFareModel,39,67,2023,1,Ngoma
17,17,New fare structure is a relief for some routes.,Positive,2023-01-31 03:43:00,User17,Twitter,#DistanceFare #RwandaTransport,47,123,2023,1,Ngoma
18,18,"Spending less on short trips, finally!",Positive,2023-01-19 05:24:00,User18,Instagram,#KigaliCommute #BusTalk,11,84,2023,1,Gasabo
19,19,Enjoying my commute again!,Positive,2023-01-26 00:51:00,User19,Facebook,#KigaliCommute #BusTalk,73,166,2023,1,Rwamagana
20,20,Great idea for long-distance commuters.,Neutral,2023-01-02 16:04:00,User20,Twitter,#CommuteStories #Transport,69,129,2023,1,Musanze
21,21,Enjoying my commute again!,Negative,2023-01-21 16:47:00,User21,Twitter,#DistanceFare #RwandaTransport,30,173,2023,1,Musanze
22,22,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-05 00:11:00,User22,Twitter,#BusLife #DistanceFareModel,42,30,2023,1,Rubavu
23,23,Great idea for long-distance commuters.,Neutral,2023-01-15 07:32:00,User23,Twitter,#CommuteStories #Transport,85,173,2023,1,Kicukiro
24,24,This pricing is not fair for daily riders.,Neutral,2023-01-12 11:41:00,User24,Twitter,#CityTransit #RwandaMoves,67,147,2023,1,Ngoma
25,25,New fare structure is a relief for some routes.,Negative,2023-01-15 17:06:00,User25,Twitter,#KigaliCommute #BusTalk,31,110,2023,1,Nyarugenge
26,26,Fare system needs better explanation.,Negative,2023-01-06 06:37:00,User26,Instagram,#CommuteStories #Transport,98,161,2023,1,Ngoma
27,27,"Spending less on short trips, finally!",Positive,2023-01-19 09:28:00,User27,Twitter,#KigaliCommute #BusTalk,58,186,2023,1,Gasabo
28,28,Why does my daily route cost more now?,Negative,2023-01-24 10:04:00,User28,Twitter,#CommuteStories #Transport,68,108,2023,1,Rubavu
29,29,Traveling from Nyamirambo to town is cheaper now.,Negative,2023-01-01 01:15:00,User29,Twitter,#CityTransit #RwandaMoves,51,45,2023,1,Rusizi
30,30,Confusing fares! Miss the old days.,Neutral,2023-01-30 22:20:00,User30,Facebook,#CityTransit #RwandaMoves,69,105,2023,1,Ngoma
